web_scraper_order,web_scraper_start_url,category-link-0,category-link-1,image,data,data2,data3,title,name,price,price2,data4
"1767433079-1","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-vyzdoba","https://cdn3.jysk.com/getimage/wd3.medium/242584","","","","RAV","Vánoční hvězda RAV Š11xD12xV11 cm kamenina bílá","/ks","50 Kč","Do vyprodání zásob"
"1767433079-2","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-vyzdoba","https://cdn1.jysk.com/getimage/wd3.medium/267835","","+ Více variant","","MODI","Stromek MODI Ø7xV16 cm dřevo","/ks","85 Kč","Do vyprodání zásob"
"1767433079-3","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-vyzdoba","https://cdn2.jysk.com/getimage/wd3.medium/267838","","+ Více variant","","MODI","Stromeček MODI Ø8xV22 cm dřevo","/ks","125 Kč","Do vyprodání zásob"
"1767433079-4","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-vyzdoba","https://cdn4.jysk.com/getimage/wd3.medium/268034","","","","HRYM","Vánoční hvězda HRYM Ø30 cm různé","/ks","85 Kč","Do vyprodání zásob"
"1767433079-5","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-vyzdoba","https://cdn4.jysk.com/getimage/wd3.medium/193978","","","","NISSE","Ozdobný podnos NISSE Ø25xV2 cm šedá","/ks","100 Kč","Do vyprodání zásob"
"1767433085-6","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-umely-strom","https://cdn2.jysk.com/getimage/wd3.medium/242924","","","","JUL","Umělá květina JUL V33 cm červená","/ks","40 Kč","Do vyprodání zásob"
"1767433085-7","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-umely-strom","https://cdn2.jysk.com/getimage/wd3.medium/268051","","","","KJELKE","Vánoční větvička KJELKE V80 cm zelená","/ks","50 Kč","Do vyprodání zásob"
"1767433085-8","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-umely-strom","https://cdn4.jysk.com/getimage/wd3.medium/241803","","","","FREJ","Větvičky FREJ Š10×D10×V76 cm hnědá","/ks","65 Kč","Do vyprodání zásob"
"1767433085-9","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-umely-strom","https://cdn1.jysk.com/getimage/wd3.medium/268048","","","","HOD","Vánoční věnec HOD Ø40 cm s šiškami","/ks","200 Kč","Do vyprodání zásob"
"1767433085-10","https://jysk.cz/pracovna/kancelarske-zidle","https://jysk.cz/vanoce","https://jysk.cz/vanoce/vanocni-umely-strom","https://cdn2.jysk.com/getimage/wd3.medium/268435","","","","FENRIR","Umělý stromek FENRIR V90 cm zelená","/ks","375 Kč","Do vyprodání zásob"
